id;Date;Open;High;Low;Close;Adj_Close;Volume
1310;06.08.2007;2.460000;2.460000;2.357143;2.422857;2.422857;11218200
1311;07.08.2007;2.492857;2.498571;2.421429;2.478571;2.478571;10384500
1312;08.08.2007;2.490000;2.638571;2.478571;2.567143;2.567143;12916400
1313;09.08.2007;2.432857;2.540000;2.374286;2.538571;2.538571;18304300
1314;10.08.2007;2.557143;2.565714;2.390000;2.555714;2.555714;10725400
1315;13.08.2007;2.571429;2.585714;2.452857;2.480000;2.480000;6819400
1316;14.08.2007;2.475714;2.551429;2.458571;2.494286;2.494286;5313000
1317;15.08.2007;2.504286;2.557143;2.484286;2.491429;2.491429;5427100
1318;16.08.2007;2.450000;2.571429;2.382857;2.414286;2.414286;13841100
1319;17.08.2007;2.564286;2.564286;2.430000;2.462857;2.462857;7107100
1320;20.08.2007;2.498571;2.498571;2.398571;2.452857;2.452857;5513200
1321;21.08.2007;2.478571;2.495714;2.437143;2.471429;2.471429;3348100
1322;22.08.2007;2.498571;2.502857;2.447143;2.490000;2.490000;4594100
1323;23.08.2007;2.471429;2.500000;2.428571;2.464286;2.464286;3038700
1324;24.08.2007;2.455714;2.545714;2.442857;2.542857;2.542857;6324500
1325;27.08.2007;2.534286;2.550000;2.442857;2.448571;2.448571;3496500
1326;28.08.2007;2.451429;2.508571;2.421429;2.425714;2.425714;4652900
1327;29.08.2007;2.435714;2.500000;2.417143;2.500000;2.500000;3855600
1328;30.08.2007;2.467143;2.498571;2.435714;2.457143;2.457143;4953900
1329;31.08.2007;2.478571;2.511429;2.450000;2.502857;2.502857;4745300
1330;04.09.2007;2.568571;2.674286;2.525714;2.591429;2.591429;11164300
1331;05.09.2007;2.580000;2.591429;2.514286;2.560000;2.560000;4132800
1332;06.09.2007;2.537143;2.570000;2.508571;2.570000;2.570000;7506100
1333;07.09.2007;2.527143;2.580000;2.501429;2.577143;2.577143;6757100
1334;10.09.2007;2.572857;2.574286;2.464286;2.485714;2.485714;6353200
1335;11.09.2007;2.477143;2.548571;2.467143;2.524286;2.524286;5483100
1336;12.09.2007;2.514286;2.522857;2.472857;2.480000;2.480000;2705500
1337;13.09.2007;2.471429;2.498571;2.438571;2.477143;2.477143;4442200
1338;14.09.2007;2.465714;2.542857;2.452857;2.531429;2.531429;4784500
1339;17.09.2007;2.621429;2.664286;2.598571;2.630000;2.630000;10098200
1340;18.09.2007;2.642857;2.771429;2.628571;2.747143;2.747143;6933500
1341;19.09.2007;2.785714;2.810000;2.751429;2.805714;2.805714;8152900
1342;20.09.2007;2.742857;2.792857;2.734286;2.782857;2.782857;7499100
1343;21.09.2007;2.821429;2.821429;2.677143;2.741429;2.741429;15879500
1344;24.09.2007;2.742857;2.794286;2.728571;2.755714;2.755714;6366500
1345;25.09.2007;2.757143;3.008571;2.754286;3.001429;3.001429;18057900
1346;26.09.2007;3.000000;3.157143;2.995714;3.134286;3.134286;15875300
1347;27.09.2007;3.111429;3.121429;3.001429;3.051429;3.051429;11898600
1348;28.09.2007;3.057143;3.085714;2.950000;2.964286;2.964286;8662500
1349;01.10.2007;2.957143;3.057143;2.941429;3.031429;3.031429;9528400
1350;02.10.2007;3.035714;3.047143;2.965714;3.028571;3.028571;4522700
1351;03.10.2007;3.002857;3.040000;2.971429;3.011429;3.011429;3612700
1352;04.10.2007;2.982857;3.038571;2.967143;3.020000;3.020000;4897900
1353;05.10.2007;3.032857;3.174286;3.028571;3.142857;3.142857;6549200
1354;08.10.2007;3.110000;3.188571;3.085714;3.181429;3.181429;3205300
1355;09.10.2007;3.178571;3.285714;3.167143;3.255714;3.255714;8563100
1356;10.10.2007;3.238571;3.381429;3.218571;3.345714;3.345714;10534300
1357;11.10.2007;3.344286;3.431429;3.232857;3.272857;3.272857;10007900
1358;12.10.2007;3.264286;3.334286;3.255714;3.285714;3.285714;4230800
1359;15.10.2007;3.414286;3.500000;3.370000;3.422857;3.422857;11533200
1360;16.10.2007;3.464286;3.464286;3.378571;3.424286;3.424286;6300000
1361;17.10.2007;3.400000;3.471429;3.377143;3.468571;3.468571;4249700
1362;18.10.2007;3.415714;3.471429;3.380000;3.432857;3.432857;7929600
1363;19.10.2007;3.470000;3.470000;3.228571;3.320000;3.320000;11195100
1364;22.10.2007;3.250000;3.324286;3.157143;3.287143;3.287143;21315000
1365;23.10.2007;3.684286;3.742857;3.502857;3.712857;3.712857;38485300
1366;24.10.2007;3.612857;3.625714;3.465714;3.607143;3.607143;13043100
1367;25.10.2007;3.588571;3.690000;3.584286;3.618571;3.618571;9669100
1368;26.10.2007;3.650000;3.671429;3.517143;3.602857;3.602857;10921400
1369;29.10.2007;3.677143;3.782857;3.642857;3.767143;3.767143;7771400
1370;30.10.2007;3.734286;3.800000;3.675714;3.777143;3.777143;12056800
1371;31.10.2007;3.782857;3.787143;3.682857;3.781429;3.781429;10792600
1372;01.11.2007;3.781429;3.811429;3.642857;3.755714;3.755714;10406200
1373;02.11.2007;3.721429;3.771429;3.714286;3.751429;3.751429;8920100
1374;05.11.2007;3.721429;3.857143;3.717143;3.787143;3.787143;7676900
1375;06.11.2007;3.777143;3.898571;3.758571;3.890000;3.890000;7774200
1376;07.11.2007;3.842857;3.910000;3.762857;3.840000;3.840000;7448000
1377;08.11.2007;3.820000;3.930000;3.724286;3.884286;3.884286;10652600
1378;09.11.2007;3.832857;3.838571;3.518571;3.607143;3.607143;13925100
1379;12.11.2007;3.592857;3.637143;3.485714;3.501429;3.501429;9178400
1380;13.11.2007;3.514286;3.630000;3.501429;3.630000;3.630000;6433000
1381;14.11.2007;3.655714;3.657143;3.531429;3.548571;3.548571;7147000
1382;15.11.2007;3.531429;3.548571;3.417143;3.437143;3.437143;6981100
1383;16.11.2007;3.434286;3.470000;3.250000;3.400000;3.400000;11610900
1384;19.11.2007;3.367143;3.428571;3.280000;3.315714;3.315714;6818000
1385;20.11.2007;3.275714;3.311429;3.164286;3.232857;3.232857;11195800
1386;21.11.2007;3.217143;3.224286;3.074286;3.078571;3.078571;10418800
1387;23.11.2007;3.104286;3.128571;3.037143;3.107143;3.107143;6153000
1388;26.11.2007;3.107143;3.170000;3.061429;3.067143;3.067143;6465900
1389;27.11.2007;3.087143;3.192857;3.071429;3.191429;3.191429;6707400
1390;28.11.2007;3.214286;3.320000;3.200000;3.287143;3.287143;9417800
1391;29.11.2007;3.260000;3.361429;3.260000;3.302857;3.302857;6612900
1392;30.11.2007;3.364286;3.420000;3.224286;3.300000;3.300000;8799700
1393;03.12.2007;3.428571;3.542857;3.367143;3.397143;3.397143;9137800
1394;04.12.2007;3.397143;3.417143;3.292857;3.392857;3.392857;5681200
1395;05.12.2007;3.331429;3.422857;3.292857;3.418571;3.418571;10406200
1396;06.12.2007;3.354286;3.414286;3.331429;3.414286;3.414286;6832000
1397;07.12.2007;3.412857;3.418571;3.348571;3.367143;3.367143;5803700
1398;10.12.2007;3.370000;3.387143;3.348571;3.355714;3.355714;4284700
1399;11.12.2007;3.357143;3.414286;3.300000;3.328571;3.328571;6779500
1400;12.12.2007;3.392857;3.420000;3.268571;3.308571;3.308571;5343100
1401;13.12.2007;3.270000;3.291429;3.215714;3.291429;3.291429;5160400
1402;14.12.2007;3.280000;3.405714;3.218571;3.360000;3.360000;9684500
1403;17.12.2007;3.330000;3.375714;3.287143;3.300000;3.300000;3688300
1404;18.12.2007;3.324286;3.467143;3.281429;3.454286;3.454286;4935000
1405;19.12.2007;3.440000;3.558571;3.408571;3.552857;3.552857;6424600
1406;20.12.2007;3.574286;3.928571;3.522857;3.891429;3.891429;22400000
1407;21.12.2007;3.984286;4.162857;3.958571;4.014286;4.014286;25501000
1408;24.12.2007;4.014286;4.088571;3.958571;3.987143;3.987143;3864000
